tenant_id,curso_id,nombre,descripcion,instructor,precio,precio_original,rating,estudiantes,duracion,imagen_url,categories,nivel
UDEMY,9128c41a-c609-45f1-ab1d-c312cb70532f,Programación Orientada a Objetos - Práctico,Aprende programación orientada a objetos de manera práctica y efectiva. Este curso te llevará desde los conceptos básicos hasta técnicas avanzadas. Incluye proyectos reales y ejercicios prácticos para consolidar tu aprendizaje.,Dr. José García,62.0,,4.2,7289,50 horas,https://example.com/images/curso_46c6f46a.jpg,"[""Seguridad"", ""Cybersecurity""]",Avanzado
UDEMY,c10a49ea-0438-40fc-bbc1-9d21ee5538cc,Communication Skills - Completo,Aprende communication skills de manera práctica y efectiva. Este curso te llevará desde los conceptos básicos hasta técnicas avanzadas. Incluye proyectos reales y ejercicios prácticos para consolidar tu aprendizaje.,Lic. Beatriz Aguilar,155.0,,4.5,19370,10 horas,https://example.com/images/curso_db64f0a2.jpg,"[""Desarrollo Web"", ""Frontend""]",Experto
UDEMY,62cf0e05-b3b9-4dcb-8516-2e22dfdd4611,Ruby on Rails - Completo,Aprende ruby on rails de manera práctica y efectiva. Este curso te llevará desde los conceptos básicos hasta técnicas avanzadas. Incluye proyectos reales y ejercicios prácticos para consolidar tu aprendizaje.,Dra. Patricia Herrera,36.0,,4.2,22391,6 horas,https://example.com/images/curso_03c468c1.jpg,"[""Juegos"", ""Unity""]",Avanzado
UDEMY,2ea81a1e-140a-427a-b7e2-233cf5263960,Docker y Kubernetes - Desde Cero,Aprende docker y kubernetes de manera práctica y efectiva. Este curso te llevará desde los conceptos básicos hasta técnicas avanzadas. Incluye proyectos reales y ejercicios prácticos para consolidar tu aprendizaje.,Ing. Roberto Jiménez,24.0,,3.9,14869,25 horas,https://example.com/images/curso_548548ae.jpg,"[""Ciencia de Datos"", ""Machine Learning""]",Avanzado
UDEMY,44674133-6d0b-483b-8797-a0217a1e66d6,Blender 3D Modeling - 2024,Aprende blender 3d modeling de manera práctica y efectiva. Este curso te llevará desde los conceptos básicos hasta técnicas avanzadas. Incluye proyectos reales y ejercicios prácticos para consolidar tu aprendizaje.,Ing. Alejandro Peña,161.0,,4.8,4548,2 horas,https://example.com/images/curso_43f2214d.jpg,"[""Juegos"", ""Unity""]",Principiante
UDEMY,5ac9c907-5133-47a1-833e-e4696619da79,SEO Optimization - Desde Cero,Aprende seo optimization de manera práctica y efectiva. Este curso te llevará desde los conceptos básicos hasta técnicas avanzadas. Incluye proyectos reales y ejercicios prácticos para consolidar tu aprendizaje.,Lic. Beatriz Aguilar,110.0,,4.1,34058,20 horas,https://example.com/images/curso_116d7df4.jpg,"[""Juegos"", ""Unreal Engine""]",Principiante
UDEMY,8d521893-a6e8-4095-b69d-9b12d53e96f1,UI/UX Design - Completo,Aprende ui/ux design de manera práctica y efectiva. Este curso te llevará desde los conceptos básicos hasta técnicas avanzadas. Incluye proyectos reales y ejercicios prácticos para consolidar tu aprendizaje.,Ing. Miguel Torres,31.0,,4.0,12561,12 horas,https://example.com/images/curso_348d166b.jpg,"[""Marketing"", ""SEO""]",Principiante
UDEMY,e59baf3c-b154-4c5b-a3a0-306ffa4acbe8,Leadership Skills - Desde Cero,Aprende leadership skills de manera práctica y efectiva. Este curso te llevará desde los conceptos básicos hasta técnicas avanzadas. Incluye proyectos reales y ejercicios prácticos para consolidar tu aprendizaje.,Ing. Ana Martínez,26.0,,3.9,8440,40 horas,https://example.com/images/curso_47f0eacf.jpg,"[""Desarrollo Web"", ""Backend""]",Principiante
UDEMY,c0755d10-d836-457b-9f44-d880de1cad1b,Figma Masterclass - Masterclass,Aprende figma masterclass de manera práctica y efectiva. Este curso te llevará desde los conceptos básicos hasta técnicas avanzadas. Incluye proyectos reales y ejercicios prácticos para consolidar tu aprendizaje.,Ing. Roberto Jiménez,81.0,,3.8,8235,6 horas,https://example.com/images/curso_3b90b195.jpg,"[""M\u00f3vil"", ""Flutter""]",Experto
UDEMY,8d42ed83-4fa4-4e21-b0ab-7450a97e023b,Project Management - Desde Cero,Aprende project management de manera práctica y efectiva. Este curso te llevará desde los conceptos básicos hasta técnicas avanzadas. Incluye proyectos reales y ejercicios prácticos para consolidar tu aprendizaje.,Prof. Raúl Vega,129.0,,3.6,49000,15 horas,https://example.com/images/curso_fbd9c8ee.jpg,"[""Programaci\u00f3n"", ""JavaScript""]",Intermedio
